"","name","address","city","state","description","star","full_address","postal_code"
"28"," The NoMad Restaurant","1170 Broadway"," New York"," NY","Daniel Humm and Will Guidara’s restaurant in The NoMad Hotel retains its ONE STAR rating.",1,"1170 Broadway, New York, NY 10001","10001"
"29"," Del Posto","85 10th Ave"," New York"," NY","This Chelsea Italian restaurant from Mario Batali, Joe Bastianich, and Lidia Bastianich stays on the list with new executive chef Melissa Rodriguez with ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"85 10th Ave, New York, NY 10011","10011"
"30"," Casa Enrique","5-48 49th Ave"," Long Island City"," NY","ONE STAR for Cosme Aguilar's Mexican restaurant, the only one on the list.",1,"5-48 49th Ave, Long Island City, NY 11101","11101"
"31"," Junoon","27 W 24th St"," New York"," NY","Rajesh Bhardwaj’s Indian fine dining restaurant has ONE STAR.",1,"27 W 24th St, New York, NY 10010","10010"
"32"," La Sirena","88 9th Ave"," New York"," NY","Mario Batali and Joe Bastianich's sprawling Chelsea restaurant has ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"88 9th Ave, New York, NY 10011","10011"
"33"," Eleven Madison Park","11 Madison Ave"," New York"," NY","Daniel Humm and Will Guidara's newly renovated stunner holds onto its THREE STARS.",3,"11 Madison Ave, New York, NY 10010","10010"
"34"," The Clocktower","5 Madison Ave"," New York"," NY","The British restaurant, opened in 2015 from prolific restaurateur Stephen Starr and chef Jason Atherton, earns ONE STAR for the first time.",1,"5 Madison Ave, New York, NY 10010","10010"
"35"," Cote Korean Steakhouse","16 W 22nd St"," New York"," NY","The new steakhouse from owner Simon Kim and chef David Shim makes it on the list with ONE STAR. ",1,"16 W 22nd St, New York, NY 10010","10010"
"36"," Rouge Tomate Chelsea","126 W 18th St"," New York"," NY","This wine-focused American Chelsea restaurant lands on the list this year with ONE STAR.",1,"126 W 18th St, New York, NY 10011","10011"
"37"," Gunter Seeger NY","641 Hudson St"," New York"," NY","The Atlanta chef's eponymous restaurant has ONE STAR.",1,"641 Hudson St, New York, NY 10014","10014"
"38"," ALDEA","31 W 17th St"," New York"," NY","George Mendes’ modern Portuguese restaurant has ONE STAR.",1,"31 W 17th St, New York, NY 10011","10011"
"39"," Gramercy Tavern","42 E 20th St"," New York"," NY","Restaurateur Danny Meyer and chef Michael Anthony's perennial favorite has ONE STAR.",1,"42 E 20th St, New York, NY 10003","10003"
"40"," Casa Mono","52 Irving Pl"," New York"," NY","This Gramercy Spanish restaurant from Mario Batali has ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"52 Irving Pl, New York, NY 10003","10003"
"41"," Wallsé","344 W 11th St"," New York"," NY","Kurt Gutenbrunner's West Village Austrian restaurant has ONE STAR.",1,"344 W 11th St, New York, NY 10014","10014"
"42"," Gotham Bar and Grill","12 E 12th St"," New York"," NY","Alfred Portale's classic American restaurant has ONE STAR.",1,"12 E 12th St, New York, NY 10003","10003"
"43"," Nix","72 University Pl"," New York"," NY","John Fraser's vegetarian restaurant holds onto its ONE STAR.",1,"72 University Pl, New York, NY 10003","10003"
"44"," Babbo","110 Waverly Pl"," New York"," NY","Mario Batali's flagship restaurant has ONE STAR. Editor’s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.",1,"110 Waverly Pl, New York, NY 10011","10011"
"45"," Blue Hill","75 Washington Pl"," New York"," NY","Dan Barber's farm-to-table restaurant off Washington Square Park has ONE STAR.",1,"75 Washington Pl, New York, NY 10011","10011"
"46"," Kanoyama","175 2nd Ave"," New York"," NY","This East Village sushi restaurant retains ONE STAR.",1,"175 2nd Ave, New York, NY 10003","10003"
"47"," Minetta Tavern","113 Macdougal St"," New York"," NY","Keith McNally's steakhouse gem has ONE STAR.",1,"113 Macdougal St, New York, NY 10012","10012"
"48"," Sushi Zo","88 W 3rd St"," New York"," NY","The New York offshoot of a high-end LA sushi restaurant has ONE STAR.",1,"88 W 3rd St, New York, NY 10012","10012"
"49"," Carbone","181 Thompson St"," New York"," NY","The fancy red sauce Italian restaurant from Rich Torrisi, Mario Carbone, and Jeff Zalaznick has ONE STAR.",1,"181 Thompson St, New York, NY 10012","10012"
"50"," ZZ's Clam Bar","169 Thompson St"," New York"," NY","Major Food Group's cocktail lounge and seafood bar has ONE STAR.",1,"169 Thompson St, New York, NY 10012","10012"
"51"," Jewel Bako","239 E 5th St"," New York"," NY","Jack Lamb's East Village Japanese restaurant has ONE STAR.",1,"239 E 5th St, New York, NY 10003","10003"
"52"," Kyo Ya","94 E 7th St"," New York"," NY","This East Village Japanese restaurant has ONE STAR.",1,"94 E 7th St, New York, NY 10009","10009"
"53"," Momofuku Ko","8 Extra Pl"," New York"," NY","David Chang's East Village chef's counter has TWO STARS.",2,"8 Extra Pl, New York, NY 10003","10003"
"54"," Hirohisa","73 Thompson St"," New York"," NY","This Japanese restaurant sticks on the list with ONE STAR.",1,"73 Thompson St, New York, NY 10012","10012"
"55"," The Musket Room","265 Elizabeth St"," New York"," NY","This New Zealand-inspired restaurant from Matt Lambert retains its ONE STAR rating.",1,"265 Elizabeth St, New York, NY 10012","10012"
"56"," Rebelle","218 Bowery"," New York"," NY","This modern French wine bar on the Bowery has ONE STAR.",1,"218 Bowery, New York, NY 10012","10012"
"57"," Uchu","217 Eldridge St"," New York"," NY","Eiji Ichimura’s new sushi tasting counter makes it to the list with ONE STAR.",1,"217 Eldridge St, New York, NY 10002","10002"
"58"," Uncle Boons","7 Spring St"," New York"," NY","This Nolita Thai restaurant sticks on the list with ONE STAR.",1,"7 Spring St, New York, NY 10012","10012"
"59"," Contra","138 Orchard St"," New York"," NY","Fabian von Hauske and Jeremiah Stone’s ambitious set menu restaurant has ONE STAR.",1,"138 Orchard St, New York, NY 10002","10002"
"60"," Bâtard","239 W Broadway"," New York"," NY","The Tribeca restaurant from Drew Nieporent, Markus Glocker, and John Winterman retains its ONE STAR rating.",1,"239 W Broadway, New York, NY 10013","10013"
"61"," Jungsik","2 Harrison St"," New York"," NY","This Korean fine dining restaurant has TWO STARS.",2,"2 Harrison St, New York, NY 10013","10013"
"62"," Delaware and Hudson","135 N 5th St"," Brooklyn"," NY","Patti Jackson's mid-Atlantic focused restaurant has ONE STAR.",1,"135 N 5th St, Brooklyn, NY 11249","11249"
"63"," Atera","77 Worth St"," New York"," NY","This forward-thinking Tribeca restaurant has TWO STARS.",2,"77 Worth St, New York, NY 10013","10013"
"64"," Aska","47 S 5th St"," Brooklyn"," NY","Fredrik Berselius’s tasting menu reboot sticks with TWO STARS.",2,"47 S 5th St, Brooklyn, NY 11249","11249"
"65"," L'Appart","225 Liberty St"," New York"," NY","Le District's tasting menu restaurant lands on the list with ONE STAR.",1,"225 Liberty St, New York, NY 10281","10281"
"66"," Meadowsweet","149 Broadway"," Brooklyn"," NY","Polo Dobkin's American restaurant gets ONE STAR.",1,"149 Broadway, Brooklyn, NY 11211","11211"
"67"," Peter Luger Steak House","178 Broadway"," Brooklyn"," NY","New York's most beloved steakhouse has ONE STAR.",1,"178 Broadway, Brooklyn, NY 11211","11211"
"68"," Faro","436 Jefferson St"," Brooklyn"," NY","Kevin and Debbie Adey's Bushwick restaurant has ONE STAR.",1,"436 Jefferson St, Brooklyn, NY 11237","11237"
"69"," Blanca","261 Moore St"," Brooklyn"," NY","Carlo Mirarchi's Bushwick tasting menu restaurant has TWO STARS.",2,"261 Moore St, Brooklyn, NY 11206","11206"
"70"," The River Café","1 Water St"," Brooklyn"," NY","Brooklyn's iconic floating restaurant has ONE STAR.",1,"1 Water St, Brooklyn, NY 11201","11201"
"71"," La Vara","268 Clinton St"," Brooklyn"," NY","Alex Raij and Eder Montero's Cobble Hill restaurant has ONE STAR.",1,"268 Clinton St, Brooklyn, NY 11201","11201"
"72"," The Finch","212 Greene Ave"," Brooklyn"," NY","This Clinton Hill New American restaurant has ONE STAR.",1,"212 Greene Ave, Brooklyn, NY 11238","11238"
"6"," Per Se","4th Floor  Time Warner Center  10 Columbus Cir"," New York"," NY","Thomas Keller's restaurant in the Time Warner Center has THREE STARS.",3,"4th Floor  Time Warner Center  10 Columbus Cir, New York, NY 10023","10023"
"18"," Agern","Grand Central Terminal  89 E 42nd St"," New York"," NY","Claus Meyer’s Grand Central restaurant retains ONE STAR.",1,"Grand Central Terminal  89 E 42nd St, New York, NY 10017","10017"
